content;score;sentiment_rating;wordCount;tweet_without_stopwords;wordCount_after_stopwords
good aplikasi bisa konsultasi dg dokter 24 jam dan ada banyak promo pula;5;Positive;13;good aplikasi bisa konsultasi dg dokter 24 jam dan ada banyak promo pula;13
dokternya humble dan bisa konsultasi dengan mudah. lewat chat ataupun video;5;Positive;11;dokternya humble dan bisa konsultasi dengan mudah. lewat chat ataupun video;11
trimakasih ya .. berkat yesdok saya bisa lebih lega. dan bonus 2x konsul , semoga bisa jd aplikasi terbaik.;5;Positive;19;trimakasih ya .. berkat yesdok saya bisa lebih lega. dan bonus 2x konsul , semoga bisa jd aplikasi terbaik.;19
seru nih.. konsultasi ke dokter jadi lebih mudah gak harus antri lagi. jangan lupa pake headset ya supaya jelas ngobrol sama dokternya;5;Positive;22;seru nih.. konsultasi ke dokter jadi lebih mudah gak harus antri lagi. jangan lupa pake headset ya supaya jelas ngobrol sama dokternya;22
aplikasi sangat bagus;5;Positive;3;aplikasi sangat bagus;3
aplikasi bagus. trimakasih karna aplikasi ini sangat membantu bagi saya yg sibuk kerja, yg tidak bisa kontrol rutin soal kesehatan saya. semoga kedepannya menjadi semakin bermanfaat.;5;Positive;26;aplikasi bagus. trimakasih karna aplikasi ini sangat membantu bagi saya yg sibuk kerja, yg tidak bisa kontrol rutin soal kesehatan saya. semoga kedepannya menjadi semakin bermanfaat.;26
mantap juga;5;Positive;2;mantap juga;2
lebih mudah dan cepat responnya trrima kasih;5;Positive;7;lebih mudah dan cepat responnya trrima kasih;7
bermanfaat sekali aplikasinya, terutama untuk kita yang ingin konsultasi dengan dokter bisa dimana saja kapan saja. terima kasih yesdok!;5;Positive;19;bermanfaat sekali aplikasinya, terutama untuk kita yang ingin konsultasi dengan dokter bisa dimana saja kapan saja. terima kasih yesdok!;19
mantap;5;Positive;1;mantap;1
wahh.. aplikasinya sangat memuaskan, sangat membantu sekali untuk konsultasi sehari² kpd dokter😊;5;Positive;12;wahh.. aplikasinya sangat memuaskan, sangat membantu sekali untuk konsultasi sehari² kpd dokter😊;12
aplikasi doketer 24 jam sekarang gaperlu takut ninggalin keluarga;5;Positive;9;aplikasi doketer 24 jam sekarang gaperlu takut ninggalin keluarga;9
good app. konsultasi dengan dokter semakin mudah. banyak fitur2 bagus lainnya. must try!;5;Positive;13;good app. konsultasi dengan dokter semakin mudah. banyak fitur2 bagus lainnya. must try!;13
aplikasi yang sangat membantu untuk konsultasi;5;Positive;6;aplikasi yang sangat membantu untuk konsultasi;6
tertolong banget ada dokter konsultasi 24 jam;5;Positive;7;tertolong banget ada dokter konsultasi 24 jam;7
aplikasi konsultasi yang sangat membantu;5;Positive;5;aplikasi konsultasi yang sangat membantu;5
terima kasih yesdok bisa tanya tanya seputar kesehatan lambung;5;Positive;9;terima kasih yesdok bisa tanya tanya seputar kesehatan lambung;9
aplikasi memang siip josss tenan;5;Positive;5;aplikasi memang siip josss tenan;5
bisa konsultasi lewat online jg... bagus ya aplikasinya;5;Positive;8;bisa konsultasi lewat online jg... bagus ya aplikasinya;8
aplikasi ini sangat bermanfaat bagi yang tinggalnya terpencil. jadi kita gak perlu jauh jauh kepuskesmas untuk berobat. hanya dg hp saja sudah cukup;5;Positive;23;aplikasi ini sangat bermanfaat bagi yang tinggalnya terpencil. jadi kita gak perlu jauh jauh kepuskesmas untuk berobat. hanya dg hp saja sudah cukup;23
dengan aplikasi ini memudahkan kita untuk konsultasi tanpa pergi kedokter;5;Positive;10;dengan aplikasi ini memudahkan kita untuk konsultasi tanpa pergi kedokter;10
bagus aplikasinya;5;Positive;2;bagus aplikasinya;2
mantab aplikasinya;5;Positive;2;mantab aplikasinya;2
aplikasi yang sangat membantu bagi pasien yang ingin konsultasi langsung dengan dokter melalui call bahkan bisa video call langsung. sangat membantu sekali. rekomend banget pokoknya;5;Positive;25;aplikasi yang sangat membantu bagi pasien yang ingin konsultasi langsung dengan dokter melalui call bahkan bisa video call langsung. sangat membantu sekali. rekomend banget pokoknya;25
sangat membantu sekali;5;Positive;3;sangat membantu sekali;3
aplikasi yesdok bener bener aplikasi keren. tampilannya ok banget, dokternya baik baik banget kalo jawab pertanyaan dari pasien yg nanya walaupun lewat aplikasi, bener2 bisa ngebantu yg lagi nanya soal kesehatan di yesdok. pokoknya the best!!!;5;Positive;36;aplikasi yesdok bener bener aplikasi keren. tampilannya ok banget, dokternya baik baik banget kalo jawab pertanyaan dari pasien yg nanya walaupun lewat aplikasi, bener2 bisa ngebantu yg lagi nanya soal kesehatan di yesdok. pokoknya the best!!!;36
terimakasih telah ada aplikasi seperti ini, saya tidak perlu lagi mengantri ke dokter hanya untuk sekedar konsultasi atau pun sakit ringan;5;Positive;21;terimakasih telah ada aplikasi seperti ini, saya tidak perlu lagi mengantri ke dokter hanya untuk sekedar konsultasi atau pun sakit ringan;21
wah menarik bisa konsultasi video call dengan dokter langsung;5;Positive;9;wah menarik bisa konsultasi video call dengan dokter langsung;9
aplikasi terlengkap yg dapat membantu anda ketika memiliki pertanyaan seputar kesehatan.dengan dokter yg berpengalaman dan yg pasti ny ramah mereka siap menjawab pertanyaan yg ada;5;Positive;25;aplikasi terlengkap yg dapat membantu anda ketika memiliki pertanyaan seputar kesehatan.dengan dokter yg berpengalaman dan yg pasti ny ramah mereka siap menjawab pertanyaan yg ada;25
aplikasi yg sangat membantu,.;5;Positive;4;aplikasi yg sangat membantu,.;4
aplikasi nya bagus banget;5;Positive;4;aplikasi nya bagus banget;4
terimakasih aplikasih yang sangat membantu orang sakit !!!;5;Positive;8;terimakasih aplikasih yang sangat membantu orang sakit !!!;8
sangat membantu bagi semua orang aplikasinya dan wajib dwonload;5;Positive;9;sangat membantu bagi semua orang aplikasinya dan wajib dwonload;9
aplikasi yg bagus..mudah penggunaannya,bisa vc sm dokternya..dan baik2 dokternya..recomended deh..mantap;5;Positive;10;aplikasi yg bagus..mudah penggunaannya,bisa vc sm dokternya..dan baik2 dokternya..recomended deh..mantap;10
good;5;Positive;1;good;1
sangat membantu ketika sakit, bisa berkonsultasi dengan ahlinya tanpa ke rumah sakit;5;Positive;12;sangat membantu ketika sakit, bisa berkonsultasi dengan ahlinya tanpa ke rumah sakit;12
keren banget aplikasinya;5;Positive;3;keren banget aplikasinya;3
mantul;5;Positive;1;mantul;1
sangat membantu... good;5;Positive;3;sangat membantu... good;3
aplikasi nya memudahkan saya berkonsultasi dan sangat bermanfaat untuk saya dan keluarga, karena halodoc menyediakan dokter dan spesialisasi yang lengkap berkonsultasin pun tidak menggunakan biaya,dan tidak membuang waktu dengan sia-sia;5;Positive;30;aplikasi nya memudahkan saya berkonsultasi dan sangat bermanfaat untuk saya dan keluarga, karena halodoc menyediakan dokter dan spesialisasi yang lengkap berkonsultasin pun tidak menggunakan biaya,dan tidak membuang waktu dengan sia-sia;30
aplikasi sangat berguna di era serba digital ini konsultasi dngn dokter dalam satu genggaman pelayanan 24 jam. dokternya baik dan informative;5;Positive;21;aplikasi sangat berguna di era serba digital ini konsultasi dngn dokter dalam satu genggaman pelayanan 24 jam. dokternya baik dan informative;21
aplikasi bagus nih mantul;5;Positive;4;aplikasi bagus nih mantul;4
mantap;5;Positive;1;mantap;1
good. sangat membantu 👌👍;5;Positive;4;good. sangat membantu 👌👍;4
aplikasi membantu top;5;Positive;3;aplikasi membantu top;3
aplikasi yesdok sangat membantu saya...;5;Positive;5;aplikasi yesdok sangat membantu saya...;5
mantuil....aplikasi ini sangat bermanfaat....silahkan teman2 download...;5;Positive;6;mantuil....aplikasi ini sangat bermanfaat....silahkan teman2 download...;6
sangat membantu sekali;5;Positive;3;sangat membantu sekali;3
insya allah aplikasi yesdok ini berguna dan bisa menjadi kan solusi saya dalam bertanya untuk konsultasi kesehatan saya. thanks yesdok;5;Positive;20;insya allah aplikasi yesdok ini berguna dan bisa menjadi kan solusi saya dalam bertanya untuk konsultasi kesehatan saya. thanks yesdok;20
mantap sekali;5;Positive;2;mantap sekali;2
aplikasi bagus dan sangat bermanfaat, 24 jam. nyesel klo ga download;5;Positive;11;aplikasi bagus dan sangat bermanfaat, 24 jam. nyesel klo ga download;11
luar biasa aplikasi ini sangat membantu untuk konsultasi kesehatan;5;Positive;9;luar biasa aplikasi ini sangat membantu untuk konsultasi kesehatan;9
mantap gan;5;Positive;2;mantap gan;2
mantap sekali....;5;Positive;2;mantap sekali....;2
wah mantap nih aplikasi;5;Positive;4;wah mantap nih aplikasi;4
aplikasinya lumyan cuman lebih ditingkatkan;5;Positive;5;aplikasinya lumyan cuman lebih ditingkatkan;5
mantap sekali;5;Positive;2;mantap sekali;2
aplikasinya baguss dan menarik, memudahkan kita untuk berkonsultasi dengan dokter kapan saja dimana saja, dan perkiraan diagnosisnya lebih cepat, aplikasi yesdok memang terpecaya..;5;Positive;23;aplikasinya baguss dan menarik, memudahkan kita untuk berkonsultasi dengan dokter kapan saja dimana saja, dan perkiraan diagnosisnya lebih cepat, aplikasi yesdok memang terpecaya..;23
baik.mantap;5;Positive;1;baik.mantap;1
memudahkan kita untuk bertanya mengenai keluhan yang terjadi,aplikasi yang keren;5;Positive;10;memudahkan kita untuk bertanya mengenai keluhan yang terjadi,aplikasi yang keren;10
alhamdulilah sangat bermanfaat sekali aplikasi yesdok ini saya jadi bisa langsung konsultasi dengan dokter respon nya pun sangat baik dan ramah;5;Positive;21;alhamdulilah sangat bermanfaat sekali aplikasi yesdok ini saya jadi bisa langsung konsultasi dengan dokter respon nya pun sangat baik dan ramah;21
mantapp aplikasinya;5;Positive;2;mantapp aplikasinya;2
halodoc menyediakan pilihan dokter yang lebih lengkap, dengan spesialisasi, dan bisa anda pilih sendiri. halodoc aplikasi yang sangat memudahkan dalam berkonsultasi dengan dokter tanpa harus mengeluarkan banyak biaya dan tanpa harus menghabiskan banyak waktu.;5;Positive;34;halodoc menyediakan pilihan dokter yang lebih lengkap, dengan spesialisasi, dan bisa anda pilih sendiri. halodoc aplikasi yang sangat memudahkan dalam berkonsultasi dengan dokter tanpa harus mengeluarkan banyak biaya dan tanpa harus menghabiskan banyak waktu.;34
mantep nih aplikasi 🖒🖒 konsultasi ke dokter cukup dari rumah melalui android, bsa lwat video pula;5;Positive;16;mantep nih aplikasi 🖒🖒 konsultasi ke dokter cukup dari rumah melalui android, bsa lwat video pula;16
aplikasi yang bagus sekali .. sya jadi bisa konsultasi sama dokter dimana aja kpan aja;5;Positive;15;aplikasi yang bagus sekali .. sya jadi bisa konsultasi sama dokter dimana aja kpan aja;15
❤️❤️❤️;5;Positive;1;❤️❤️❤️;1
sehat terus yuk!!!!!❤️;5;Positive;3;sehat terus yuk!!!!!❤️;3
aplikasi yang sangat bermanfaat untuk sya dan keluarga sya... terima kasih yesdok;5;Positive;12;aplikasi yang sangat bermanfaat untuk sya dan keluarga sya... terima kasih yesdok;12
seneng sekali pake aplikasi yesdok.... berguna bnget.... mantap dech pokoknya;5;Positive;10;seneng sekali pake aplikasi yesdok.... berguna bnget.... mantap dech pokoknya;10
aplikasi yang sangat bermanfaat... terima kasih yesdok;5;Positive;7;aplikasi yang sangat bermanfaat... terima kasih yesdok;7
mantap....aplikasi yang sangat berguna buat saya dan keluarga ...jadi bisa konsultasi kaoan aja dan dimana aja;5;Positive;16;mantap....aplikasi yang sangat berguna buat saya dan keluarga ...jadi bisa konsultasi kaoan aja dan dimana aja;16
di era digital ini kemudahan adalah kuncinya sehingga aplikasi konsultasi dokter berbasis digital memudahkan kita berkonsultasi tanpa antrian di rumah sakit;5;Positive;21;di era digital ini kemudahan adalah kuncinya sehingga aplikasi konsultasi dokter berbasis digital memudahkan kita berkonsultasi tanpa antrian di rumah sakit;21
sangat menarik, bisa konsultasi tanpa harus keluar rumah;5;Positive;8;sangat menarik, bisa konsultasi tanpa harus keluar rumah;8
aplikasinya membantu yang ingin berkonsultasi langsung dengan dokter tanoa harus pergi ke rumah sakit, jadi sewaktu-waktu butuh konsuktasi mudah deh;5;Positive;20;aplikasinya membantu yang ingin berkonsultasi langsung dengan dokter tanoa harus pergi ke rumah sakit, jadi sewaktu-waktu butuh konsuktasi mudah deh;20
aplikasi yang bagus karna bisa konsultasi lansung perihal apa yang kita pertanyakan mengenai kesehatan dan juga tips dan saran bisa kita aplikasikan di kehidupan sehari hari..;5;Positive;26;aplikasi yang bagus karna bisa konsultasi lansung perihal apa yang kita pertanyakan mengenai kesehatan dan juga tips dan saran bisa kita aplikasikan di kehidupan sehari hari..;26
aplikasi ini sangat membatu sekali ketika kita berkonsultasi dengan dokter;5;Positive;10;aplikasi ini sangat membatu sekali ketika kita berkonsultasi dengan dokter;10
bagus;5;Positive;1;bagus;1
oh my good;5;Positive;3;oh my good;3
mantap ,dan bermanfaat buat konsultasi kesehatan ,jadi tidak perlu dtang di klinik lagi;5;Positive;13;mantap ,dan bermanfaat buat konsultasi kesehatan ,jadi tidak perlu dtang di klinik lagi;13
aplikasi sangat bagus. bisa berkomunikasi langsung dengan dokter dan juga bisa video call. pelayanan bagus. recommended bgt;5;Positive;17;aplikasi sangat bagus. bisa berkomunikasi langsung dengan dokter dan juga bisa video call. pelayanan bagus. recommended bgt;17
recommended pokoknya;5;Positive;2;recommended pokoknya;2
aplikasi ini mendukung banget;5;Positive;4;aplikasi ini mendukung banget;4
dengan applikasi ini saya merasa memiliki dokter pribadi dalam keluarga saya, terima kasih yesdok. semua menjadi lebih praktis dan mudah;5;Positive;20;dengan applikasi ini saya merasa memiliki dokter pribadi dalam keluarga saya, terima kasih yesdok. semua menjadi lebih praktis dan mudah;20
alhamdulillah.. sangat membantu, tidak usah repot-repot mengantri untuk konsultasi. ayoo manfaatkan smartphone kalian.;5;Positive;13;alhamdulillah.. sangat membantu, tidak usah repot-repot mengantri untuk konsultasi. ayoo manfaatkan smartphone kalian.;13
the best pokoknya aplikasi ini, mantappp bisa ngecek kesehatan tiap hari tanpa antriii👍👍;5;Positive;13;the best pokoknya aplikasi ini, mantappp bisa ngecek kesehatan tiap hari tanpa antriii👍👍;13
dengan adanya aplikasi ini memudahkan konsul sama dokter. sangat recommended;5;Positive;10;dengan adanya aplikasi ini memudahkan konsul sama dokter. sangat recommended;10
konsul bisa dimana aja;5;Positive;4;konsul bisa dimana aja;4
sangat membantu semua jadi lebih mudah, dokternya sangat ramah dan fastrespone. tampilan applikasinya juga sangat menarik. 👍👍👍;5;Positive;17;sangat membantu semua jadi lebih mudah, dokternya sangat ramah dan fastrespone. tampilan applikasinya juga sangat menarik. 👍👍👍;17
yesdok bisa membantu semua orang;5;Positive;5;yesdok bisa membantu semua orang;5
goof;5;Positive;1;goof;1
sekarang mah ga usah jauh jauh kerumah sakit, lewat hape aja udah bisa konsultasi. ga perlu buang waktu, buang tenaga, dan pasti ga buang ongkos buat ke rumah sakit dong haha... aplikasi konsultasi kesehatan recommended deh...;5;Positive;36;sekarang mah ga usah jauh jauh kerumah sakit, lewat hape aja udah bisa konsultasi. ga perlu buang waktu, buang tenaga, dan pasti ga buang ongkos buat ke rumah sakit dong haha... aplikasi konsultasi kesehatan recommended deh...;36
aplikasi yang sangat membatu dalam mencari solusi kesehatan.;5;Positive;8;aplikasi yang sangat membatu dalam mencari solusi kesehatan.;8
aplikasi ini sangat berguna bagi saya;5;Positive;6;aplikasi ini sangat berguna bagi saya;6
aplikasi yang bagus untuk consultasi masalah kesehatan, seperti punya dokter pribadi bisa chat bahkan video call.. salam 5 bintang;5;Positive;19;aplikasi yang bagus untuk consultasi masalah kesehatan, seperti punya dokter pribadi bisa chat bahkan video call.. salam 5 bintang;19
good aplikasinya bikin mudah konsultasi;5;Positive;5;good aplikasinya bikin mudah konsultasi;5
mantap aplikasinya bikin mudah konsultasi ke dokter;5;Positive;7;mantap aplikasinya bikin mudah konsultasi ke dokter;7
aplikasi ini lebgkap banget pembayaran online, konsultasi online, berita kesehatan tapi yg paling aku suka bisa curhat keluhan ke dokter spesialis 😍😍😍;5;Positive;22;aplikasi ini lebgkap banget pembayaran online, konsultasi online, berita kesehatan tapi yg paling aku suka bisa curhat keluhan ke dokter spesialis 😍😍😍;22
anak saya pernah sakit tengah malam dan di situ semua klinik sudah tutup saat saya udah kebingungan muter-muter klinik pada tutut ada temen rekomendasiin pake aplikasi yesdok aja buat konsultasi sama dokter profesional akhirnya saya coba dan dari situ saya merasa tenang karna anak saya sudah tertangani;5;Positive;47;anak saya pernah sakit tengah malam dan di situ semua klinik sudah tutup saat saya udah kebingungan muter-muter klinik pada tutut ada temen rekomendasiin pake aplikasi yesdok aja buat konsultasi sama dokter profesional akhirnya saya coba dan dari situ saya merasa tenang karna anak saya sudah tertangani;47
cuma di aplikasi yesdok dokter profesional di lengkapi dengan surat tanda registrasi;5;Positive;12;cuma di aplikasi yesdok dokter profesional di lengkapi dengan surat tanda registrasi;12
aplikasi yang sangat bermanfaat untuk kesehatanku dan anak anakku.;5;Positive;9;aplikasi yang sangat bermanfaat untuk kesehatanku dan anak anakku.;9
semenjak gue pake aplikasi ini gue bisa melakukan konsultasi secara instan,thanks yesdok;5;Positive;12;semenjak gue pake aplikasi ini gue bisa melakukan konsultasi secara instan,thanks yesdok;12
mantap dok;5;Positive;2;mantap dok;2
aku baru kali ini konsultasi dari media internet ternyata lebih praktis dan efisien waktu untuk melakukannya bravo yesdok;5;Positive;18;aku baru kali ini konsultasi dari media internet ternyata lebih praktis dan efisien waktu untuk melakukannya bravo yesdok;18
jangan tunda-tunda yg mau donwload pasti kebantu sama aplikasi ini;5;Positive;10;jangan tunda-tunda yg mau donwload pasti kebantu sama aplikasi ini;10
ini memudahkan gue banget buat konsultasi dari rumah karna terlalu sibuk dan pembayarannya pun ga ribet bisa dari dompet digital;5;Positive;20;ini memudahkan gue banget buat konsultasi dari rumah karna terlalu sibuk dan pembayarannya pun ga ribet bisa dari dompet digital;20
aplikasi ini keren ada dokter spesialisnya,bayak juga berita seputar kesehatan;5;Positive;10;aplikasi ini keren ada dokter spesialisnya,bayak juga berita seputar kesehatan;10
aplikasi yang bermanfaat dan dapat diandalkan selama 24 jam. dokternya juga sangat membantu...;5;Positive;13;aplikasi yang bermanfaat dan dapat diandalkan selama 24 jam. dokternya juga sangat membantu...;13
saya suka karna sangat berguna sekali;5;Positive;6;saya suka karna sangat berguna sekali;6
bagus buat kesehatan;5;Positive;3;bagus buat kesehatan;3
memudahkan kita untuk berkonsultasi dgn dokter dimana pun dan kapan,dokter2ny berregister semuanya;5;Positive;12;memudahkan kita untuk berkonsultasi dgn dokter dimana pun dan kapan,dokter2ny berregister semuanya;12
yesdok mempermudah dalam konsultasi langsung dengan dokter;5;Positive;7;yesdok mempermudah dalam konsultasi langsung dengan dokter;7
canggih sekali, tidak perlu pergi jauh2 kalau mau berobat. terimakasih buat yesdok;5;Positive;12;canggih sekali, tidak perlu pergi jauh2 kalau mau berobat. terimakasih buat yesdok;12
mantap aplikasinya. saya dan istri bisa cek kesehatan terus lewat aplikasi ini. semoga semakin bagus.;5;Positive;15;mantap aplikasinya. saya dan istri bisa cek kesehatan terus lewat aplikasi ini. semoga semakin bagus.;15
keren aplikasinya. praktis dan bisa konsultasi kesehatan.;5;Positive;7;keren aplikasinya. praktis dan bisa konsultasi kesehatan.;7
aplikasi yang bermanfaat dan dapat diandalkan selama 24 jam. dokternya juga sangat membantu...;5;Positive;13;aplikasi yang bermanfaat dan dapat diandalkan selama 24 jam. dokternya juga sangat membantu...;13
mantap abis nih aplikasi bisa konsul gratis ke dokter;5;Positive;9;mantap abis nih aplikasi bisa konsul gratis ke dokter;9
sekarang konsultasi dengan dokter jadi muda berkat aplikasi ini. terima kasih yesdok;5;Positive;12;sekarang konsultasi dengan dokter jadi muda berkat aplikasi ini. terima kasih yesdok;12
saya kasih bintang 5 karna apk ini sangat membantu;5;Positive;9;saya kasih bintang 5 karna apk ini sangat membantu;9
sangat membantu kita untuk berdiskusi;5;Positive;5;sangat membantu kita untuk berdiskusi;5
beneran bisa vc;5;Positive;3;beneran bisa vc;3
jadi terbantu banget dengan yesdok. konsul ke dokter di rumah aj cukup pake handphone jadi ga harus antri.;5;Positive;18;jadi terbantu banget dengan yesdok. konsul ke dokter di rumah aj cukup pake handphone jadi ga harus antri.;18
aplikasi yg sangat mantap;5;Positive;4;aplikasi yg sangat mantap;4
sangat membatu menemukan dokter yang sangat berpengalaman dan bsa berkonsultasi di sni;5;Positive;12;sangat membatu menemukan dokter yang sangat berpengalaman dan bsa berkonsultasi di sni;12
nice app;5;Positive;2;nice app;2
aplikasi yang bermanfaat. terus kembangkan dan terus maju supaya masyarakat indonesia makin sehat dan terbantu.;5;Positive;15;aplikasi yang bermanfaat. terus kembangkan dan terus maju supaya masyarakat indonesia makin sehat dan terbantu.;15
good app;5;Positive;2;good app;2
aplikasi yang sangat membantu dan bermanfaat;5;Positive;6;aplikasi yang sangat membantu dan bermanfaat;6
mantap nih aplikasi jadi lebih mudah untuk konsultasi kesehatan;5;Positive;9;mantap nih aplikasi jadi lebih mudah untuk konsultasi kesehatan;9
aplikasi yesdok sangat membantu untuk konsultasi;5;Positive;6;aplikasi yesdok sangat membantu untuk konsultasi;6
mantap aplikasinya membantu banget. info kesehatannya banyak jadi makin banyak wawasan.;5;Positive;11;mantap aplikasinya membantu banget. info kesehatannya banyak jadi makin banyak wawasan.;11
aplikasi ini bermanfaat sekali & sangat membantu saya 👍;5;Positive;9;aplikasi ini bermanfaat sekali & sangat membantu saya 👍;9
aplikasi yang sangat bermanfaat, dimana saja dan kapan saja bila butuh konsultasi dengan dokter, gk perlu antri lama dan biaya mahal. tinggal klik yesdok sudah bisa tau penyakit yg kita derita saat itu juga. terimakasih yesdok;5;Positive;36;aplikasi yang sangat bermanfaat, dimana saja dan kapan saja bila butuh konsultasi dengan dokter, gk perlu antri lama dan biaya mahal. tinggal klik yesdok sudah bisa tau penyakit yg kita derita saat itu juga. terimakasih yesdok;36
sangat membantu kesehatab;5;Positive;3;sangat membantu kesehatab;3
goooooooood nih aplikasi;5;Positive;3;goooooooood nih aplikasi;3
aplikasi ini sangat bagus mempermudah kita untuk bisa berkonsultasi ke dokter👍👍👍;5;Positive;11;aplikasi ini sangat bagus mempermudah kita untuk bisa berkonsultasi ke dokter👍👍👍;11
terima kasih aplikasi yesdok karena sudah mempermudah saya dan keluarga saya untuk berkonsultasi dengan dokter secara online. efisien, fleksibel dan tidak harus keluar rumah untuk berkonsultasi dgn dokter.;5;Positive;28;terima kasih aplikasi yesdok karena sudah mempermudah saya dan keluarga saya untuk berkonsultasi dengan dokter secara online. efisien, fleksibel dan tidak harus keluar rumah untuk berkonsultasi dgn dokter.;28
kerennn;5;Positive;1;kerennn;1
aplikasi bagus;5;Positive;2;aplikasi bagus;2
luar biasa dengan aplikasi ini, dapat memudahkan saya untuk berkonsultasi;5;Positive;10;luar biasa dengan aplikasi ini, dapat memudahkan saya untuk berkonsultasi;10
aplikasinya kereen bisa stanby 24 jam, serasa punya dokter pribadi.;5;Positive;10;aplikasinya kereen bisa stanby 24 jam, serasa punya dokter pribadi.;10
bagus banget bisa konsultasi dari telfon dan video call sama dokter langsung, semoga bisa dikembangkan untuk kegawatan ada tim reaksi cepat yg siap menolong di tiap daerah;5;Positive;27;bagus banget bisa konsultasi dari telfon dan video call sama dokter langsung, semoga bisa dikembangkan untuk kegawatan ada tim reaksi cepat yg siap menolong di tiap daerah;27
aplikasi yang sangat membantu kesehatan;5;Positive;5;aplikasi yang sangat membantu kesehatan;5
yesdok sangat membantu sekali langsung konsultasi sama dokter dengan mudah;5;Positive;10;yesdok sangat membantu sekali langsung konsultasi sama dokter dengan mudah;10
sangat responsif , penjelasannya pun jelas sekali ,makasih yesdok 🙏;5;Positive;10;sangat responsif , penjelasannya pun jelas sekali ,makasih yesdok 🙏;10
aplikasinya bagus dan bermanfaat;5;Positive;4;aplikasinya bagus dan bermanfaat;4
terimakasih yesdok;5;Positive;2;terimakasih yesdok;2
keren dan membantu!!!;5;Positive;3;keren dan membantu!!!;3
sangat membantu, buat konsultasi kesehatan gk perlu lg keluar rumah, pokoknya oke dah;5;Positive;13;sangat membantu, buat konsultasi kesehatan gk perlu lg keluar rumah, pokoknya oke dah;13
sangat bermanfaat sekali;5;Positive;3;sangat bermanfaat sekali;3
bagus;5;Positive;1;bagus;1
mantap, aplikasi konsultasi yang sangat amat baik;5;Positive;7;mantap, aplikasi konsultasi yang sangat amat baik;7
bagus;5;Positive;1;bagus;1
bagus;5;Positive;1;bagus;1
bagus;5;Positive;1;bagus;1
joss sekali;5;Positive;2;joss sekali;2
semoga tetap maju dan bermanfaat bagi masyarakat, tks yesdok;5;Positive;9;semoga tetap maju dan bermanfaat bagi masyarakat, tks yesdok;9
sejauh ini sangat amat bermanfaat untuk membantu saya,;5;Positive;8;sejauh ini sangat amat bermanfaat untuk membantu saya,;8
bagus sangat membantu;5;Positive;3;bagus sangat membantu;3
apkikasi nya bagus bgt, membantu bgt trimakasih yesdok;5;Positive;8;apkikasi nya bagus bgt, membantu bgt trimakasih yesdok;8
semoga sukses selalu untuk yesdok;5;Positive;5;semoga sukses selalu untuk yesdok;5
terima kasih aplikasai yesdok yg sdh sangat membantu saya;5;Positive;9;terima kasih aplikasai yesdok yg sdh sangat membantu saya;9
sangat membantu sekali untuk saya dan keluar ga, trimakasih yesdok;5;Positive;10;sangat membantu sekali untuk saya dan keluar ga, trimakasih yesdok;10
ini aplikasi yg saya cari2 selama ini;5;Positive;7;ini aplikasi yg saya cari2 selama ini;7
sungguh luar biasa, aplikasi sangat bermanfaat membntu sekali;5;Positive;8;sungguh luar biasa, aplikasi sangat bermanfaat membntu sekali;8
sangat membantu, tank you;5;Positive;4;sangat membantu, tank you;4
sangat bermanfaat, semoga kedepan nya bisa lebih baik lagi;5;Positive;9;sangat bermanfaat, semoga kedepan nya bisa lebih baik lagi;9
sangat membantu dengan aplikasi ini bisa berkonsultasi langsung dengan dokter;5;Positive;10;sangat membantu dengan aplikasi ini bisa berkonsultasi langsung dengan dokter;10
sangat membantu sekali .mantap yesdox;5;Positive;5;sangat membantu sekali .mantap yesdox;5
mantap;5;Positive;1;mantap;1
aplikasi ini sangat bermanfaat. kesibukkan kita seringkali membuat kita jadi sering mengabaikan kondisi kesehatan. padahal kesehatan itu sangat penting. dengan aplikasi ini sangat membantu untuk tetap menjaga kesehatan tanpa ribet. kita bisa konsultasi kapanpun bahkan dimanapun dengan dokter yang sangat ramah.;5;Positive;41;aplikasi ini sangat bermanfaat. kesibukkan kita seringkali membuat kita jadi sering mengabaikan kondisi kesehatan. padahal kesehatan itu sangat penting. dengan aplikasi ini sangat membantu untuk tetap menjaga kesehatan tanpa ribet. kita bisa konsultasi kapanpun bahkan dimanapun dengan dokter yang sangat ramah.;41
yesdok aplikasi yg sangat bermanfaat buat kita membantu kita berkonsultasi dengan dokter yg berkualitas secara online;5;Positive;16;yesdok aplikasi yg sangat bermanfaat buat kita membantu kita berkonsultasi dengan dokter yg berkualitas secara online;16
yup! yesdok memang aplikasi yg paling bermanfaat banget kita bisa berkonsultasi langsung secara online dengan dokter tanpa harus keluar rumah;5;Positive;20;yup! yesdok memang aplikasi yg paling bermanfaat banget kita bisa berkonsultasi langsung secara online dengan dokter tanpa harus keluar rumah;20
sangat membantu terimakasih;5;Positive;3;sangat membantu terimakasih;3
sangat membantu;5;Positive;2;sangat membantu;2
aplikasi yang sangat bagus untuk kesehatan;5;Positive;6;aplikasi yang sangat bagus untuk kesehatan;6
aplilasi sangat bermanfaat sekali;5;Positive;4;aplilasi sangat bermanfaat sekali;4
